TDEP,GR,HMRS,HDRS,DTC,NPHI,DRHO,PE,RHOB,BSZ,CALI,DCALI
59.2,110.35865020751953,2.3990957736968994,1.8486177921295166,129.34942626953125,52.225685119628906,0.010865682736039162,3.6906416416168213,1.7796505689620972,8.5,9.827392578125,1.327392578125
59.3,107.58821105957031,2.392678737640381,1.921450138092041,130.53359985351562,52.32063293457031,0.01427600160241127,3.6949007511138916,1.7883466482162476,8.5,9.844335556030273,1.3443355560302734
59.4,110.16193389892578,2.3896493911743164,1.96444571018219,132.68048095703125,50.91262435913086,0.015637777745723724,3.7140069007873535,1.7882311344146729,8.5,9.897311210632324,1.3973112106323242
59.5,115.81756591796875,2.382634401321411,2.0034492015838623,136.28628540039062,49.16731643676758,0.0172219667583704,3.73805570602417,1.786533236503601,8.5,9.918425559997559,1.4184255599975586
59.6,121.81745910644531,2.3563194274902344,2.0615179538726807,138.25132751464844,49.040489196777344,0.022117644548416138,3.7546334266662598,1.7799938917160034,8.5,9.981770515441895,1.4817705154418945
59.7,122.96498107910156,2.3431055545806885,2.0744314193725586,137.5369415283203,49.88562774658203,0.024424802511930466,3.7558834552764893,1.7760839462280273,8.5,10.027291297912598,1.5272912979125977
59.8,120.2601089477539,2.337153196334839,2.0525050163269043,135.33763122558594,52.664825439453125,0.025620954111218452,3.7525506019592285,1.7725248336791992,8.5,10.072699546813965,1.5726995468139648
59.9,116.06346130371094,2.388443946838379,2.0759031772613525,131.9701385498047,54.40413284301758,0.021816715598106384,3.7989702224731445,1.7642439603805542,8.5,10.142555236816406,1.6425552368164062
60.0,113.03073120117188,2.474517822265625,2.0805652141571045,130.08187866210938,53.51492691040039,0.018752261996269226,3.8240959644317627,1.7613519430160522,8.5,10.142555236816406,1.6425552368164062
60.1,110.78487396240234,2.611436128616333,2.086669921875,129.32725524902344,53.493892669677734,0.01684054546058178,3.842313051223755,1.7596266269683838,8.5,10.127229690551758,1.6272296905517578
60.2,103.88336181640625,3.153827428817749,2.2644386291503906,130.39309692382812,52.50112533569336,0.020077936351299286,3.804363489151001,1.7654790878295898,8.5,10.162257194519043,1.662257194519043
60.3,101.1784896850586,3.553391456604004,2.42230224609375,133.83334350585938,50.880306243896484,0.02738802880048752,3.7911949157714844,1.7704499959945679,8.5,10.158973693847656,1.6589736938476562
60.4,98.16214752197266,3.8876090049743652,2.605794668197632,135.5515899658203,48.12990951538086,0.037870317697525024,3.8294155597686768,1.7727694511413574,8.5,10.135361671447754,1.635361671447754
60.5,93.6048583984375,4.21765661239624,2.8117635250091553,136.07855224609375,45.00515365600586,0.06450361758470535,4.188589096069336,1.7388544082641602,8.5,10.162105560302734,1.6621055603027344
60.6,93.2605972290039,3.7639966011047363,2.9078891277313232,135.32147216796875,44.19723129272461,0.07439875602722168,4.453211307525635,1.7016217708587646,8.5,10.294673919677734,1.7946739196777344
62.4,54.015411376953125,13.434802055358887,9.034595489501953,129.76528930664062,18.47709846496582,0.1011451855301857,4.599782943725586,2.125061511993408,8.5,10.190305709838867,1.6903057098388672
62.5,57.58911895751953,14.364359855651855,10.157061576843262,131.07681274414062,18.787296295166016,0.07941002398729324,4.541982173919678,2.2072110176086426,8.5,9.46545124053955,0.9654512405395508
62.6,59.65465545654297,13.751716613769531,10.370429039001465,132.7445526123047,19.412761688232422,0.059306807816028595,4.515203952789307,2.264108419418335,8.5,9.16751766204834,0.6675176620483398
62.7,62.5726318359375,12.77559757232666,10.26721477508545,133.895751953125,20.328718185424805,0.0391138419508934,4.508656978607178,2.286754846572876,8.5,8.9403657913208,0.4403657913208008
62.8,78.7034912109375,8.924629211425781,7.968721866607666,134.3701171875,22.59865379333496,0.012513848021626472,4.306763172149658,2.2470898628234863,8.5,8.975362777709961,0.47536277770996094
62.9,91.08031463623047,7.037956237792969,6.3400750160217285,134.99087524414062,25.685775756835938,0.004886213690042496,4.107602119445801,2.220529079437256,8.5,8.965899467468262,0.4658994674682617
63.0,104.9325180053711,5.662814617156982,5.307105541229248,135.7053985595703,29.13427734375,0.0005611415253952146,3.863736867904663,2.2052979469299316,8.5,8.952692031860352,0.45269203186035156
63.1,121.26009368896484,4.12288236618042,4.089175701141357,136.64523315429688,32.65708541870117,-0.002638292731717229,3.47755765914917,2.1996219158172607,8.5,8.97767448425293,0.4776744842529297
63.2,126.73540496826172,3.7036969661712646,3.655035972595215,138.95379638671875,35.625450134277344,-0.003724769689142704,3.4095711708068848,2.19708514213562,8.5,8.99087905883789,0.4908790588378906
63.3,129.83370971679688,3.406231641769409,3.416175127029419,144.81053161621094,38.222225189208984,-0.005355170927941799,3.3799538612365723,2.190833330154419,8.5,9.02465534210205,0.5246553421020508
63.4,136.21063232421875,3.019841194152832,3.0863893032073975,154.22218322753906,40.10157012939453,-0.009171104989945889,3.368778705596924,2.1763505935668945,8.5,9.119251251220703,0.6192512512207031
63.5,134.71885681152344,2.891902446746826,2.9610424041748047,164.7699737548828,41.00381088256836,-0.009756163693964481,3.346447467803955,2.173726797103882,8.5,9.132768630981445,0.6327686309814453
