TDEP,GR,BS,NPHI,CAL,RHOB,DRHO,PE,RESD,DTC,DCAL
27.89998872578144,45.83660125732422,8.5,,,,,,,,
27.999988727271557,47.22990036010742,8.5,,,,,,,,
28.099988728761673,48.749900817871094,8.5,,,,,,,,
28.19998873025179,50.11159896850586,8.5,,,,,,,,
28.299988731741905,50.0166015625,8.5,,,,,,,,
28.39998873323202,49.161598205566406,8.5,,,,,,,,
28.499988734722137,48.8765983581543,8.5,,,,,,,,
28.599988736212254,50.82400131225586,8.5,,,,,,,,
28.69998873770237,54.70309829711914,8.5,,,,,,,,
28.799988739192486,56.3656005859375,8.5,,,,,,,,
28.899988740682602,55.89059829711914,8.5,,,,,,,,
28.999988742172718,54.27560043334961,8.5,,,,,,,,
29.099988743662834,53.05649948120117,8.5,,,,,,,,
29.19998874515295,51.615699768066406,8.5,,,,,,,,
29.299988746643066,48.33829879760742,8.5,,,,,,,,
29.399988748133183,49.57320022583008,8.5,,,,,,,,
29.4999887496233,52.201499938964844,8.5,,,,,,,,
29.599988751113415,57.26810073852539,8.5,,,,,,,,
29.69998875260353,56.5713996887207,8.5,,,,,,,,
29.799988754093647,55.1781005859375,8.5,,,,,,,,
29.899988755583763,52.9297981262207,8.5,,,,,,,,
29.99998875707388,53.68980026245117,8.5,,,,,,,,
30.099988758563995,54.98809814453125,8.5,,,,,,,,
30.19998876005411,55.77980041503906,8.5,,,,,,,,
30.299988761544228,55.14649963378906,8.5,,,,,,,,
30.399988763034344,55.33649826049805,8.5,,,,,,,,
30.49998876452446,56.270599365234375,8.5,,,,,,,,
30.599988766014576,55.60559844970703,8.5,,,,,,,,
30.699988767504692,54.354801177978516,8.5,,,,,,,,
30.799988768994808,51.188201904296875,8.5,,,,,,,,
30.899988770484924,45.75749969482422,8.5,,,,,,,,
30.99998877197504,43.58829879760742,8.5,,,,,,,,
31.099988773465157,44.68080139160156,8.5,,,,,,,,
31.199988774955273,47.00830078125,8.5,,,,,,,,
31.29998877644539,49.984901428222656,8.5,,,,,,,,
31.399988777935505,52.61320114135742,8.5,,,,,,,,
31.49998877942562,56.254798889160156,8.5,,,,,,,,
31.599988780915737,53.76900100708008,8.5,,,,,,,,
31.699988782405853,51.37820053100586,8.5,,,,,,,,
31.79998878389597,51.72650146484375,8.5,,,,,,,,
31.899988785386086,57.33140182495117,8.5,,,,,,,,
31.9999887868762,59.5797004699707,8.5,,,,,,,,
