TDEP,BS,DRHO,PE,RHOB,CAL,NPHI,GR,RESD,DTC,DCAL
61.499984592199326,8.5,0.04149999842047691,3.6816999912261963,2.3852999210357666,8.387299537658691,28.1023006439209,107.779296875,4.259200096130371,162.01730346679688,
61.59998459368944,8.5,0.04820000007748604,3.497299909591675,2.3289999961853027,8.415599822998047,32.81999969482422,120.25240325927734,3.600100040435791,166.1475067138672,
61.69998459517956,8.5,0.05339999869465828,3.34689998626709,2.275099992752075,8.45680046081543,37.56330108642578,128.4792938232422,2.9305999279022217,170.75469970703125,
61.799984596669674,8.5,0.06270000338554382,3.1465001106262207,2.1821000576019287,8.543000221252441,40.846900939941406,135.047607421875,2.635200023651123,174.56739807128906,
61.89998459815979,8.5,0.06790000200271606,3.088099956512451,2.143699884414673,8.562299728393555,42.972198486328125,136.0428009033203,2.083699941635132,176.34140014648438,
61.999984599649906,8.5,0.07360000163316727,3.043600082397461,2.1085000038146973,8.573800086975098,44.86579895019531,136.706298828125,1.8991999626159668,177.23779296875,
62.09998460114002,8.5,0.07859999686479568,3.010200023651123,2.0761001110076904,8.581600189208984,46.168800354003906,136.73939514160156,1.7731000185012817,177.88259887695312,
62.19998460263014,8.5,0.08129999786615372,2.9883999824523926,2.038800001144409,8.580300331115723,46.60599899291992,133.62120056152344,1.767699956893921,178.031494140625,
62.299984604120255,8.5,0.07599999755620956,2.9883999824523926,2.0322000980377197,8.548100471496582,46.267601013183594,131.43170166015625,1.6973999738693237,178.031494140625,
62.39998460561037,8.5,0.06830000132322311,3.0118000507354736,2.0383999347686768,8.562299728393555,45.36360168457031,131.64739990234375,1.8380000591278076,178.031494140625,
62.49998460710049,8.5,0.052400000393390656,3.0808000564575195,2.066800117492676,8.485099792480469,44.88690185546875,137.45269775390625,1.8675999641418457,178.031494140625,
62.5999846085906,8.5,0.04670000076293945,3.1187000274658203,2.078900098800659,8.468400001525879,45.04460144042969,139.69180297851562,1.9665000438690186,178.031494140625,
62.69998461008072,8.5,0.04450000077486038,3.1679999828338623,2.088200092315674,8.459400177001953,45.519100189208984,138.77960205078125,2.012399911880493,178.031494140625,
62.799984611570835,8.5,0.044199999421834946,3.251699924468994,2.0887999534606934,8.411800384521484,45.80720138549805,139.80799865722656,1.9291000366210938,178.031494140625,
62.89998461306095,8.5,0.04540000110864639,3.288800001144409,2.0868000984191895,8.411800384521484,46.04690170288086,142.54469299316406,1.9450000524520874,178.031494140625,
62.99998461455107,8.5,0.04639999940991402,3.3178999423980713,2.0838000774383545,8.407899856567383,46.90190124511719,146.591796875,1.9713000059127808,177.70680236816406,
63.09998461604118,8.5,0.049400001764297485,3.3262999057769775,2.083699941635132,8.440099716186523,48.01300048828125,145.58009338378906,1.756700038909912,176.83290100097656,
63.1999846175313,8.5,0.05040000006556511,3.3125998973846436,2.0831000804901123,8.441300392150879,48.412498474121094,143.8717041015625,1.8671000003814697,175.62559509277344,
63.299984619021416,8.5,0.051100000739097595,3.293100118637085,2.0833001136779785,8.452899932861328,47.70000076293945,141.4665985107422,1.7359999418258667,173.2324981689453,
63.39998462051153,8.5,0.05260000005364418,3.2581000328063965,2.0901999473571777,8.431099891662598,46.80329895019531,142.9593963623047,1.8472000360488892,168.14990234375,
63.49998462200165,8.5,0.05209999904036522,3.2511000633239746,2.0950000286102295,8.411800384521484,45.6067008972168,142.4783935546875,1.9345999956130981,163.0343017578125,
63.599984623491764,8.5,0.051600001752376556,3.2588999271392822,2.1045000553131104,8.396300315856934,43.39339828491211,138.1658935546875,1.9996999502182007,158.54510498046875,
63.69998462498188,8.5,0.05130000039935112,3.30679988861084,2.122499942779541,8.398900032043457,40.40409851074219,131.21609497070312,2.24780011177063,151.38729858398438,
63.799984626471996,8.5,0.049300000071525574,3.569999933242798,2.194700002670288,8.362899780273438,36.795101165771484,108.64179992675781,3.0713999271392822,141.73219299316406,
