TDEP,HDRA,PEFZ,RHOZ
653.28796,0.011278391,2.5632503,2.418916
653.2372,0.008794069,2.5411992,2.409643
653.1864,0.00574255,2.5110888,2.3983946
653.1356,0.0017135143,2.475461,2.3861432
653.0848,-0.0012760162,2.4409199,2.376008
653.034,-0.0029478073,2.4131784,2.3672862
652.9832,-0.0023167133,2.3963172,2.362097
652.9324,-0.0026991367,2.388088,2.3577023
652.8816,-0.002583027,2.393882,2.3564296
652.8308,-0.0015180111,2.3818705,2.3604574
652.77997,-0.0002706051,2.3581445,2.3672383
652.7292,0.0010967255,2.3392076,2.37532
652.6784,0.00162673,2.318531,2.3808894
652.62756,0.0012974739,2.2979028,2.3820846
652.5768,0.00012946129,2.2863638,2.3791165
652.526,-0.001316309,2.2781453,2.3738935
652.4752,-0.0027616024,2.2668307,2.368202
652.4244,-0.003943205,2.2534616,2.3633196
652.3736,-0.004990101,2.250265,2.3577352
652.3228,-0.005845785,2.2625399,2.3510084
652.272,-0.0068337917,2.2773106,2.342788
652.2212,-0.007382393,2.3004725,2.3359919
652.1704,-0.007077217,2.3322992,2.3320293
652.11957,-0.005995035,2.3611047,2.3314133
652.0688,-0.004478216,2.3902314,2.3334553
652.018,-0.0022723675,2.4327621,2.33818
651.96716,0.00079512596,2.4818788,2.3457954
651.9164,0.0053858757,2.5325005,2.3569264
651.8656,0.009483814,2.5802562,2.3691564
651.8148,0.010779142,2.6187248,2.3786883
651.764,0.011053324,2.646277,2.386504
651.7132,0.010667324,2.672743,2.3934872
651.6624,0.009470463,2.6976774,2.3992615
651.6116,0.007702112,2.7214587,2.403444
651.5608,0.0055816174,2.7305155,2.4060316
651.51,0.004048586,2.724595,2.4077904
651.45917,0.00014591217,2.7129347,2.4066942
651.4084,-0.003795147,2.6986203,2.4043808
651.3576,-0.00487113,2.6872284,2.4045453
651.30676,-0.0063250065,2.6845484,2.4048865
651.256,-0.0073747635,2.6758618,2.4059858
651.2052,-0.0075068474,2.6636667,2.4080374
651.1544,-0.006619215,2.6461387,2.4112642
651.1036,-0.0057713985,2.6319475,2.4130044
651.0528,-0.0059843063,2.6236506,2.4119306
651.002,-0.004689455,2.6323347,2.4097452
650.9512,-0.0022804737,2.6517878,2.407184
650.9004,0.0013961792,2.6853933,2.4066591
650.8496,0.008235216,2.7286692,2.409587
650.79877,0.016950846,2.7833414,2.4145434
650.748,0.026120424,2.842945,2.4188
650.6972,0.034652233,2.9095213,2.421073
650.64636,0.0433774,2.976003,2.42426
650.5956,0.05248022,3.0430524,2.4293272
650.5448,0.06194687,3.0906866,2.437923
650.494,0.07020998,3.12248,2.4463034
650.4432,0.07525563,3.133778,2.4494457
650.3924,0.07667947,3.1254504,2.4465804
650.3416,0.07530427,3.0993705,2.440663
650.2908,0.07282972,3.0602942,2.4365585
650.24,0.07092905,3.0131617,2.437357
650.1892,0.06791258,2.9587371,2.4388406
650.13837,0.062731504,2.898979,2.4382195
650.0876,0.053411484,2.8304322,2.431265
650.0368,0.043778896,2.7648644,2.4243603
649.98596,0.035342455,2.7066355,2.4206893
649.9352,0.028561115,2.6563144,2.4224324
649.8844,0.023050785,2.6227446,2.4269636
649.8336,0.01833725,2.6054344,2.4311028
649.7828,0.015060902,2.6058056,2.4333715
649.732,0.01570797,2.6235101,2.4366047
649.6812,0.017630577,2.6575403,2.4383817
649.6304,0.022686958,2.71587,2.4411418
649.5796,0.028063774,2.7897382,2.4408512
649.5288,0.034290314,2.8793974,2.4389298
649.47797,0.041538715,2.984275,2.4351208
649.4272,0.04992962,3.0946174,2.4301567
649.3764,0.05898571,3.2063677,2.4250793
649.3256,0.064847946,3.309385,2.414751
649.2748,0.06513095,3.4003553,2.3982966
649.224,0.06322932,3.4779902,2.3808393
649.1732,0.058791637,3.540236,2.3638926
649.1224,0.05397916,3.5850878,2.3507211
649.0716,0.0484581,3.6073751,2.3402712
649.0208,0.04157543,3.6058328,2.3312666
648.97,0.03283,3.5760286,2.3231363
648.9192,0.023502827,3.5316458,2.319138
648.8684,0.015736341,3.4747853,2.3239317
648.81757,0.01006341,3.4111454,2.3373067
648.7668,0.0064713955,3.3422287,2.3579378
648.716,0.0053117275,3.2666278,2.3818707
648.6652,0.0043697357,3.1800246,2.4068847
648.6144,0.0037999153,3.096203,2.4330063
648.5636,0.003932953,3.0288384,2.4598825
648.5128,0.0039954185,2.966037,2.4842186
648.462,0.0034422874,2.9146628,2.5022202
648.4112,0.002503872,2.874297,2.5138156
648.3604,0.002024889,2.8405683,2.5207849
648.3096,0.001750946,2.8190236,2.5221035
648.2588,0.0016829967,2.8022146,2.5216038
648.208,0.0019392967,2.8038285,2.5171523
648.15717,0.0022006035,2.8061755,2.509017
648.1064,0.0038900375,2.8098533,2.5005229
648.0556,0.008794308,2.8226235,2.4950135
648.0048,0.01432538,2.8251657,2.48996
647.954,0.019535303,2.819162,2.483196
647.9032,0.021267653,2.8031929,2.4692955
647.8524,0.022029877,2.7764149,2.4537363
647.8016,0.022304296,2.7484124,2.4366777
647.7508,0.022189379,2.7093456,2.4198802
647.7,0.021874666,2.6773183,2.4040475
647.6492,0.019623041,2.637693,2.3872223
647.5984,0.014533043,2.6000419,2.3701053
647.5476,0.009025812,2.5641162,2.3569427
647.49677,0.0035135746,2.5413318,2.3474507
647.446,0.00085258484,2.5367613,2.3461072
647.3952,-0.0008075237,2.540842,2.3496819
647.3444,-0.0021502972,2.5489569,2.356141
647.2936,-0.0025577545,2.5591867,2.3660002
647.2428,-0.0028188229,2.5623422,2.3756337
647.192,-0.0028369427,2.5558565,2.383826
647.1412,-0.002648592,2.537373,2.3894014
647.0904,-0.0020155907,2.5170388,2.3920598
647.0396,-0.00076055527,2.4852169,2.3930027
646.9888,0.00198102,2.4434323,2.3937616
646.938,0.0048217773,2.3952096,2.3927338
646.8872,0.0069851875,2.3440683,2.3897195
646.83636,0.008144617,2.2951567,2.3840873
646.7856,0.009096146,2.2482336,2.376753
646.7348,0.009228468,2.2041228,2.3673713
646.684,0.008960962,2.1758337,2.3574324
646.6332,0.008233786,2.1494303,2.3483045
646.5824,0.007415533,2.1230288,2.3422546
646.5316,0.005595684,2.098955,2.337287
646.4808,0.0036213398,2.0809157,2.3336828
646.43,0.0020580292,2.0714633,2.3309717
646.3792,0.0008883476,2.0688553,2.3294492
646.32837,2.2888184e-05,2.064651,2.331589
646.2776,-0.00019216537,2.0649922,2.3363605
