Poço,Profundidade,UnidadeF,UnidadeM,UnidadeC,TopoUnidade,BaseUnidade,Topo,Base,Litologia,Cor,Tonalidade,Granulometria,Arredondamento,BS,CAL,DCAL,GR,RESD,DT,RHOB,DRHO,NPHI,PE,interpolada
1-BRSA-459-SE,475.1,MURIBE,CARMOP,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,FINO,,8.5,8.729670524597168,0.2296705245971679,91.3794822692871,4.606723308563232,105.67326354980469,2.3560335636138916,-0.01010525226593015,0.3312162011861801,3.159837007522583,True
1-BRSA-459-SE,475.2,MURIBE,CARMOP,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,FINO,,8.5,8.729670524597168,0.2296705245971679,91.61901092529295,4.227497577667236,103.78711700439452,2.344845771789551,-0.0121080875396728,0.3455772399902344,3.126863956451416,False
1-BRSA-459-SE,475.3,MURIBE,CARMOP,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,FINO,,8.5,8.729670524597168,0.2296705245971679,83.85694122314453,4.692500591278076,99.50945281982422,2.3655929565429688,-0.0120224952697753,0.3048624992370605,3.0924572944641118,False
1-BRSA-459-SE,475.4,MURIBE,CARMOP,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,FINO,,8.5,8.714651584625244,0.2146515846252441,81.36331939697266,5.154836416244507,95.24176025390625,2.387547254562378,-0.0111017227172851,0.2814739197492599,3.095112919807434,True
1-BRSA-459-SE,475.5,MURIBE,CARMOP,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,FINO,,8.5,8.69963264465332,0.1996326446533203,78.86969757080078,5.6171722412109375,90.97406768798828,2.409501552581787,-0.0101809501647949,0.2580853402614593,3.097768545150757,False
1-BRSA-459-SE,475.6,MURIBE,CARMOP,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,FINO,,8.5,8.712982177734375,0.212982177734375,76.09272003173828,6.75236177444458,86.2706298828125,2.443125009536743,-0.0043597221374511,0.2272647470235824,3.1399078369140625,False
1-BRSA-459-SE,475.7,MURIBE,CARMOP,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,FINO,,8.5,8.706307411193848,0.20630741119384766,78.28084564208984,6.821072340011597,84.05687713623047,2.443976879119873,-0.0041595697402953494,0.23438251763582224,3.1711103916168213,True
1-BRSA-459-SE,475.8,MURIBE,CARMOP,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,FINO,,8.5,8.69963264465332,0.1996326446533203,80.4689712524414,6.889782905578613,81.84312438964844,2.444828748703003,-0.0039594173431396,0.2415002882480621,3.20231294631958,False
1-BRSA-459-SE,475.9,MURIBE,CARMOP,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,FINO,,8.5,8.719657897949219,0.2196578979492187,77.41475677490234,7.202597141265869,87.11505889892578,2.447201728820801,-0.0050277709960937,0.2415167838335037,3.235203981399536,False
1-BRSA-459-SE,476.0,MURIBE,CARMOP,,False,False,False,False,ARENITO,CINZA,ESBRANQUICADO,FINO,,8.5,8.689620018005371,0.18962001800537104,79.90859985351562,7.593797206878662,86.04002380371094,2.455980658531189,-0.0071257352828979,0.22854425758123395,3.251442313194275,True
