Poço,Profundidade,UnidadeF,UnidadeM,UnidadeC,TopoUnidade,BaseUnidade,Topo,Base,Litologia,Cor,Tonalidade,Granulometria,Arredondamento,BS,CAL,DCAL,DRHO,DT,GR,RESD,NPHI,PE,PE.1,RHOB,interpolada
1-BRSA-645-SE,19.5,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,19.6,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,19.7,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,19.8,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,19.9,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,20.0,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,20.1,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,20.2,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,20.3,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,20.4,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,20.5,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,20.6,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,20.7,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,20.8,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,20.9,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,21.0,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,21.1,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,21.2,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,21.3,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,21.4,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,21.5,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,21.6,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,21.7,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,21.8,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,21.9,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,22.0,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,22.1,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,22.2,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,22.3,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,22.4,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,22.5,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,22.6,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,22.7,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,22.8,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,22.9,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,23.0,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,23.1,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,23.2,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,23.3,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,23.4,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,23.5,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,23.6,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,23.7,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,23.8,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,23.9,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,24.0,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,24.1,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,24.2,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,24.3,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,24.4,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,24.5,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,24.6,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,24.7,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,24.8,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,24.9,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,25.0,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,25.1,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,25.2,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,25.3,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,25.4,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,25.5,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,25.6,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
1-BRSA-645-SE,25.7,BARRRS,BARRRS,,False,False,False,False,,,,,,,,,,,,,,,,,
