TDEP,BS,GR,NPHI,DT
47.198277,8.5,105.43079,0.20482807,83.07404
47.18304,8.5,108.50263,0.19806412,83.78353
47.1678,8.5,108.50263,0.24362275,89.40111
47.15256,8.5,103.697365,0.28403655,88.77108
47.13732,8.5,104.1362,0.30519173,92.85377
47.122078,8.5,108.74396,0.28487042,89.63113
47.10684,8.5,108.2811,0.26221427,86.50194
47.0916,8.5,110.69468,0.24718161,82.381386
47.07636,8.5,102.356834,0.2225188,78.48897
47.06112,8.5,99.176575,0.215462,79.726364
47.04588,8.5,99.99845,0.2281442,81.605675
47.03064,8.5,103.728546,0.26459035,86.743675
47.0154,8.5,99.55961,0.2509093,84.059685
47.00016,8.5,94.129974,0.22937259,84.985825
46.98492,8.5,91.49697,0.22685327,80.20402
46.969677,8.5,95.334076,0.24835503,80.19527
46.954437,8.5,98.625336,0.27015814,88.348274
46.939198,8.5,102.35543,0.27213502,89.46859
46.92396,8.5,111.90278,0.29836997,92.505066
46.908722,8.5,121.60619,0.30001062,99.036575
46.89348,8.5,129.72462,0.31004432,97.45349
46.87824,8.5,126.8722,0.30251032,94.5207
46.863,8.5,122.56491,0.2762714,90.95322
46.84776,8.5,109.18046,0.22972932,87.21934
46.83252,8.5,109.76057,0.2208379,87.46702
46.81728,8.5,109.19163,0.22173089,81.48516
46.80204,8.5,108.53338,0.21988916,77.60089
46.7868,8.5,93.91056,0.18130371,74.73329
46.77156,8.5,91.935814,0.20496169,74.42479
46.75632,8.5,103.95776,0.25636902,79.54265
46.741077,8.5,116.68396,0.29641148,84.54524
46.725838,8.5,116.245125,0.28672907,89.64009
46.710598,8.5,118.48529,0.25573915,92.62118
46.69536,8.5,129.11038,0.26776284,99.1188
46.680122,8.5,141.39775,0.28390434,104.364334
46.66488,8.5,142.05598,0.32759348,110.61801
46.64964,8.5,138.01341,0.3485694,113.91318
46.6344,8.5,133.76845,0.32475805,103.805725
46.61916,8.5,124.3335,0.26038665,96.16495
46.60392,8.5,104.58596,0.20373964,83.79592
46.588676,8.5,89.96104,0.19390509,76.01275
46.57344,8.5,88.68462,0.2193883,75.889206
46.5582,8.5,95.92539,0.23608798,77.91092
46.54296,8.5,101.01752,0.25200453,81.629295
46.52772,8.5,97.46676,0.27073506,82.3983
46.512478,8.5,103.02987,0.26798862,82.77791
46.49724,8.5,100.57075,0.26761538,85.918
46.482,8.5,100.57075,0.2512771,86.31367
46.46676,8.5,93.01296,0.25346953,84.78112
46.45152,8.5,91.69645,0.24756314,86.20198
46.43628,8.5,87.96636,0.24677157,85.44715
46.42104,8.5,84.98789,0.24689654,81.84411
46.4058,8.5,79.28304,0.2536905,80.96796
46.39056,8.5,83.45197,0.23934306,79.35472
46.37532,8.5,84.67627,0.23898803,76.198784
46.360077,8.5,89.06461,0.23364262,76.71219
46.344837,8.5,85.334526,0.24597079,78.40211
46.3296,8.5,88.876625,0.23392543,81.477905
46.31436,8.5,92.60672,0.2408192,86.63677
46.29912,8.5,96.2237,0.2505599,89.99701
46.28388,8.5,88.97025,0.2584319,89.02139
46.26864,8.5,85.67899,0.2552098,87.25265
46.2534,8.5,82.38856,0.23530172,83.37253
46.23816,8.5,83.70506,0.22683115,80.650764
46.22292,8.5,79.076416,0.20035088,78.89637
