FRAMENO,TDEP,TIME,HCAL
741,256840.0,82.03906,8.575631
742,256830.0,82.03906,8.596846
743,256820.0,82.03906,8.596846
744,256810.0,82.03906,8.586238
745,256800.0,82.05469,8.575631
746,256790.0,79.96094,8.575631
747,256780.0,79.96094,8.596846
748,256770.0,79.96094,8.575631
749,256760.0,79.96094,8.575631
750,256750.0,79.96094,8.575631
751,256740.0,79.94531,8.575631
752,256730.0,83.5,8.575631
753,256720.0,83.5,8.575631
754,256710.0,83.5,8.596846
755,256700.0,83.5,8.596846
756,256690.0,83.5,8.596846
757,256680.0,83.5,8.607453
758,256670.0,86.78906,8.639276
759,256660.0,86.78906,8.66049
760,256650.0,86.78906,8.70292
761,256640.0,86.78906,8.713528
762,256630.0,86.78906,8.724135
763,256620.0,86.80469,8.724135
764,256610.0,82.96094,8.74535
765,256600.0,82.96094,8.766564
766,256590.0,82.96094,8.78778
767,256580.0,82.96094,8.808994
768,256570.0,82.96094,8.766564
769,256560.0,82.94531,8.671098
770,256550.0,81.5,8.70292
771,256540.0,81.5,8.70292
772,256530.0,81.5,8.713528
773,256520.0,81.5,8.724135
774,256510.0,81.5,8.808994
775,256500.0,81.5,8.87264
776,256490.0,81.33594,8.808994
777,256480.0,81.33594,8.74535
778,256470.0,81.33594,8.70292
779,256460.0,81.33594,8.70292
780,256450.0,81.33594,8.692312
781,256440.0,81.32031,8.66049
782,256430.0,82.83594,8.66049
783,256420.0,82.83594,8.681705
784,256410.0,82.83594,8.713528
785,256400.0,82.83594,8.724135
786,256390.0,82.83594,8.70292
787,256380.0,82.82031,8.66049
788,256370.0,84.41406,8.628668
789,256360.0,84.41406,8.596846
790,256350.0,84.41406,8.596846
791,256340.0,84.41406,8.575631
792,256330.0,84.41406,8.596846
793,256320.0,84.42969,8.61806
794,256310.0,85.5,8.639276
795,256300.0,85.5,8.61806
796,256290.0,85.5,8.596846
797,256280.0,85.5,8.61806
798,256270.0,85.5,8.596846
799,256260.0,85.5,8.61806
800,256250.0,82.91406,8.596846
801,256240.0,82.91406,8.575631
802,256230.0,82.91406,8.575631
803,256220.0,82.91406,8.575631
804,256210.0,82.91406,8.565023
805,256200.0,82.92969,8.533201
806,256190.0,83.75,8.554416
807,256180.0,83.75,8.543809
808,256170.0,83.75,8.575631
809,256160.0,83.75,8.639276
810,256150.0,83.75,8.808994
811,256140.0,83.75,8.87264
812,256130.0,82.03906,8.840817
813,256120.0,82.03906,8.78778
814,256110.0,82.03906,8.681705
815,256100.0,82.03906,8.61806
816,256090.0,82.03906,8.61806
817,256080.0,82.05469,8.66049
818,256070.0,80.96094,8.724135
819,256060.0,80.96094,8.840817
820,256050.0,80.96094,8.978714
821,256040.0,80.96094,8.851425
822,256030.0,80.96094,8.74535
823,256020.0,80.94531,8.681705
824,256010.0,83.33594,8.734742
825,256000.0,83.33594,8.66049
826,255990.0,83.33594,8.681705
827,255980.0,83.33594,8.70292
828,255970.0,83.33594,8.61806
829,255960.0,83.32031,8.575631
830,255950.0,85.5,8.554416
831,255940.0,85.5,8.554416
832,255930.0,85.5,8.554416
833,255920.0,85.5,8.554416
834,255910.0,85.5,8.61806
835,255900.0,85.5,8.671098
