FRAMENO,TDEP,AHTCO90,AHF30,TIME,AHF90
264,25635.0,652.17505,1.4182488,253.25,1.4069883
265,25632.0,673.45996,1.4289254,253.25,1.4203066
266,25629.0,704.3588,1.4351714,256.5,1.427039
267,25626.0,686.2192,1.440104,256.5,1.4317607
268,25623.0,690.94965,1.4576998,248.75,1.45476
269,25620.0,709.6303,1.4791049,248.75,1.4801813
270,25617.0,729.16437,1.4848634,251.25,1.4912497
271,25614.0,696.6116,1.496975,251.25,1.5044482
272,25611.0,646.49176,1.5252671,246.125,1.5397137
273,25608.0,638.453,1.5578308,246.125,1.5798588
274,25605.0,626.34143,1.5931257,242.875,1.6226969
275,25602.0,613.329,1.6298993,242.875,1.6622038
276,25599.0,595.7845,1.6586239,250.0,1.6922551
277,25596.0,580.92914,1.6914318,250.0,1.7357273
278,25593.0,588.5497,1.7369314,256.5,1.7812853
279,25590.0,575.1301,1.7765895,256.5,1.8271022
280,25587.0,551.4418,1.833654,249.125,1.8936446
281,25584.0,518.8463,1.8754463,249.125,1.9442791
282,25581.0,465.97992,1.9099678,245.875,1.9733838
283,25578.0,429.67407,1.9306061,245.875,1.9865905
284,25575.0,410.22766,1.9313567,240.875,1.9827002
285,25572.0,404.02344,1.9092454,240.875,1.9628178
286,25569.0,420.10092,1.8659226,247.375,1.9292996
287,25566.0,462.98807,1.8074046,247.375,1.8857181
288,25563.0,513.09937,1.7421486,246.375,1.8375242
289,25560.0,537.8687,1.6786869,246.375,1.7905717
290,25557.0,565.0762,1.6239847,240.75,1.7490393
291,25554.0,590.7698,1.5828629,240.75,1.7149843
292,25551.0,632.4371,1.5581728,244.875,1.6890187
293,25548.0,672.6234,1.5512424,244.875,1.6718612
294,25545.0,683.0222,1.5622616,245.75,1.6654624
295,25542.0,656.3026,1.5904404,245.75,1.6721507
296,25539.0,608.17615,1.6338965,247.25,1.692704
297,25536.0,560.80884,1.6820687,247.25,1.7254567
298,25533.0,521.7536,1.7121395,246.375,1.7584586
299,25530.0,476.54514,1.7789085,246.375,1.8096737
300,25527.0,439.45667,1.8422698,244.625,1.8474497
301,25524.0,433.76306,1.8838576,244.625,1.871351
302,25521.0,428.7554,1.8917316,244.0,1.8744657
303,25518.0,425.4845,1.8598195,244.0,1.8527086
304,25515.0,474.51837,1.7936918,247.375,1.8049607
305,25512.0,530.1116,1.702047,247.375,1.7330292
306,25509.0,576.0504,1.5949764,240.625,1.6372917
307,25506.0,615.09454,1.482883,240.625,1.5231028
308,25503.0,674.4554,1.3744314,248.5,1.4143124
309,25500.0,735.34924,1.2756957,248.5,1.3159382
310,25497.0,797.47473,1.2135798,247.0,1.2289088
311,25494.0,899.8897,1.1425428,247.0,1.1523111
312,25491.0,985.34155,1.0828689,249.5,1.0879047
313,25488.0,1087.5758,1.0353508,249.5,1.0370485
314,25485.0,1151.5627,0.9989176,248.25,0.9994981
315,25482.0,1139.3052,0.9720718,248.25,0.97241116
316,25479.0,1065.7393,0.9593275,242.25,0.95245546
317,25476.0,1043.3434,0.9507717,242.25,0.9375088
318,25473.0,1036.3193,0.9435829,239.0,0.92901695
319,25470.0,1056.7281,0.9353728,239.0,0.9158007
320,25467.0,1086.8496,0.92057616,245.0,0.89831823
321,25464.0,1124.2188,0.9085994,245.0,0.8820467
322,25461.0,1165.359,0.8965894,243.5,0.8657369
323,25458.0,1203.6458,0.8850626,243.5,0.8494964
324,25455.0,1233.1401,0.87285596,241.875,0.8362805
325,25452.0,1250.7509,0.8615185,241.875,0.82372624
326,25449.0,1257.1244,0.8506603,246.875,0.81199074
327,25446.0,1256.0354,0.840657,246.875,0.80118716
328,25443.0,1256.2076,0.8307716,241.75,0.7913223
329,25440.0,1271.902,0.82026136,241.75,0.7814298
330,25437.0,1306.7825,0.81084484,246.125,0.7729494
331,25434.0,1349.9178,0.802657,246.125,0.76637
332,25431.0,1419.555,0.79611,240.375,0.760666
333,25428.0,1435.991,0.79300606,240.375,0.75676334
334,25425.0,1417.3079,0.79229623,249.25,0.757695
335,25422.0,1379.1418,0.79109144,249.25,0.7582849
336,25419.0,1336.5862,0.79006845,240.25,0.754179
337,25416.0,1322.9021,0.7917931,240.25,0.7563117
338,25413.0,1271.7827,0.7921849,254.0,0.7578668
339,25410.0,1240.8846,0.7897398,254.0,0.7578482
340,25407.0,1228.8717,0.7833331,247.5,0.7554929
341,25404.0,1262.3995,0.77250856,247.5,0.7503515
342,25401.0,1310.9526,0.7570518,243.5,0.74223435
343,25398.0,1351.0981,0.7381293,243.5,0.72841746
344,25395.0,1391.7572,0.7181075,239.0,0.7113976
345,25392.0,1430.6522,0.6999421,239.0,0.6976672
346,25389.0,1487.7671,0.6816397,246.5,0.68815756
347,25386.0,1556.9844,0.6653425,246.5,0.67383295
348,25383.0,1611.9407,0.65214884,246.0,0.6610131
349,25380.0,1634.6138,0.6425151,246.0,0.65032053
350,25377.0,1625.9127,0.63566405,242.25,0.64213955
351,25374.0,1600.2262,0.63144445,242.25,0.63650596
352,25371.0,1567.5398,0.6295454,249.0,0.63403136
353,25368.0,1543.0104,0.6294743,249.0,0.63391584
354,25365.0,1530.4663,0.63063854,245.25,0.63491786
355,25362.0,1530.8405,0.63277555,245.25,0.6368648
356,25359.0,1535.6201,0.63617826,248.875,0.64014417
357,25356.0,1564.2773,0.6418185,248.875,0.6456727
358,25353.0,1584.292,0.6511213,243.0,0.6546062
359,25350.0,1593.6204,0.66543835,243.0,0.6680271
360,25347.0,1580.8436,0.6859628,232.375,0.6871835
361,25344.0,1535.3595,0.71605045,232.375,0.7175388
362,25341.0,1381.0398,0.75515264,242.5,0.7558644
363,25338.0,1198.0598,0.80333644,242.5,0.8021519
364,25335.0,1125.8068,0.8504205,246.0,0.8491497
365,25332.0,955.8951,0.9093806,246.0,0.90892047
366,25329.0,852.7325,0.9754022,242.5,0.97503936
367,25326.0,809.22076,1.0408043,242.5,1.0397551
368,25323.0,791.6644,1.0990151,250.125,1.097477
369,25320.0,779.44995,1.1442468,250.125,1.143364
370,25317.0,761.79803,1.1701717,244.375,1.1705204
371,25314.0,730.9576,1.172431,244.375,1.1722645
372,25311.0,703.91364,1.1515967,240.25,1.1480974
373,25308.0,783.3122,1.1126826,240.25,1.1048045
374,25305.0,896.4067,1.0626765,244.75,1.0516142
375,25302.0,980.76294,1.008035,244.75,0.9957207
376,25299.0,1080.7109,0.95011556,248.0,0.94145674
377,25296.0,1154.8962,0.89703864,248.0,0.89152634
378,25293.0,1229.656,0.85795563,246.5,0.8458043
379,25290.0,1303.346,0.8198853,246.5,0.8069405
380,25287.0,1378.3159,0.7879207,246.625,0.7739287
381,25284.0,1424.4703,0.7615202,246.625,0.7463403
382,25281.0,1440.6674,0.74008685,250.375,0.7236777
383,25278.0,1455.9509,0.722984,250.375,0.7053562
384,25275.0,1460.845,0.7102728,246.25,0.690735
385,25272.0,1460.7441,0.70376647,246.25,0.6798928
386,25269.0,1467.4786,0.6991666,242.25,0.67374426
387,25266.0,1482.3525,0.69553,242.25,0.66892457
388,25263.0,1503.7253,0.6920735,241.0,0.66477424
389,25260.0,1498.04,0.68514335,241.0,0.6595114
390,25257.0,1490.6138,0.67925537,249.5,0.6561743
391,25254.0,1496.9587,0.6755145,249.5,0.6516387
392,25251.0,1513.645,0.66992867,245.75,0.6460466
393,25248.0,1545.2991,0.6627813,245.75,0.6396542
394,25245.0,1580.5759,0.65415573,245.5,0.6326535
395,25242.0,1589.9673,0.64801735,245.5,0.6287806
396,25239.0,1611.2213,0.6420279,246.25,0.62395805
397,25236.0,1641.4861,0.6349571,246.25,0.6178882
398,25233.0,1672.516,0.62893707,237.25,0.6124283
399,25230.0,1701.3068,0.6253149,237.25,0.60889274
400,25227.0,1723.4902,0.6252141,240.75,0.6116839
401,25224.0,1736.4785,0.6299806,240.75,0.6192202
402,25221.0,1724.0934,0.6422526,236.5,0.6309836
403,25218.0,1675.6438,0.66037726,236.5,0.64724183
404,25215.0,1592.7534,0.68407166,249.0,0.6681334
405,25212.0,1469.5244,0.7128648,249.0,0.693526
406,25209.0,1375.3796,0.7447923,246.5,0.7227783
407,25206.0,1257.6475,0.77110547,246.5,0.7525567
408,25203.0,1184.1749,0.8059712,242.875,0.7863903
409,25200.0,1127.7539,0.83982646,242.875,0.8184449
410,25197.0,1077.7909,0.8702339,240.625,0.8470893
411,25194.0,1042.7463,0.89551985,240.625,0.87057704
412,25191.0,1051.9542,0.9115441,248.0,0.8884775
413,25188.0,1086.0957,0.92078084,248.0,0.901064
414,25185.0,1123.3867,0.9267919,244.25,0.9097557
415,25182.0,1147.4481,0.93202126,244.25,0.9165668
416,25179.0,1164.1781,0.9452277,249.0,0.92716914
417,25176.0,1153.3267,0.9572107,249.0,0.9376638
418,25173.0,1113.6996,0.96924824,246.0,0.9506332
419,25170.0,1069.2238,0.98293793,246.0,0.96586084
420,25167.0,1004.9546,1.0018607,243.25,0.9824768
421,25164.0,987.78015,1.0244602,243.25,1.0055325
422,25161.0,972.477,1.0424994,242.0,1.0230912
423,25158.0,945.02435,1.0627335,242.0,1.0422897
424,25155.0,918.30084,1.083793,242.5,1.0619081
425,25152.0,901.74884,1.1046048,242.5,1.0811219
426,25149.0,878.4776,1.1229298,243.5,1.0981165
427,25146.0,852.6804,1.1357697,243.5,1.1103007
428,25143.0,845.5586,1.1367799,245.5,1.110471
429,25140.0,848.44653,1.1291448,245.5,1.1009259
430,25137.0,864.6566,1.1162506,246.125,1.0866865
431,25134.0,896.76917,1.0999353,246.125,1.0700716
432,25131.0,940.7166,1.0822147,246.375,1.0535156
433,25128.0,983.6144,1.0652963,246.375,1.0410763
434,25125.0,1018.6135,1.0506327,242.0,1.0269299
435,25122.0,1021.91187,1.0352005,242.0,1.0148258
436,25119.0,1005.92346,1.0229322,237.0,1.0039092
437,25116.0,992.4911,1.0124613,237.0,0.9937589
438,25113.0,984.3471,1.0016576,241.75,0.9823936
439,25110.0,983.9054,0.9886734,241.75,0.97093385
440,25107.0,999.8703,0.9775271,250.25,0.96189356
441,25104.0,1028.1514,0.9655312,250.25,0.9523814
442,25101.0,1053.2676,0.9521339,244.5,0.9410877
443,25098.0,1064.533,0.9372214,244.5,0.9263308
444,25095.0,1077.8164,0.9206162,239.25,0.91007215
445,25092.0,1092.6587,0.9018281,239.25,0.8924537
446,25089.0,1107.3195,0.88117945,247.5,0.8776533
447,25086.0,1140.7191,0.8600545,247.5,0.8593625
448,25083.0,1165.6134,0.84300834,239.5,0.8462261
449,25080.0,1208.9473,0.82565266,239.5,0.83155376
450,25077.0,1247.0378,0.8097364,263.0,0.81807667
451,25074.0,1294.2592,0.7967711,263.0,0.8075093
452,25071.0,1322.3494,0.7880184,261.5,0.80121857
453,25068.0,1329.77,0.78410983,261.5,0.7998469
454,25065.0,1319.5089,0.78531224,262.5,0.8036497
455,25062.0,1300.1847,0.7918662,262.5,0.8129123
456,25059.0,1232.7278,0.8043853,258.25,0.8302394
457,25056.0,1151.7007,0.8278676,258.25,0.85916746
458,25053.0,1090.7847,0.8593847,257.75,0.89550394
459,25050.0,1046.4746,0.8925841,257.75,0.93367183
460,25047.0,1024.7301,0.92423934,260.75,0.97130615
461,25044.0,950.2797,0.96253854,260.75,1.0181811
462,25041.0,865.4082,1.0014615,261.25,1.0671855
463,25038.0,781.115,1.0352781,261.25,1.111772
464,25035.0,689.2558,1.058181,265.75,1.1450446
465,25032.0,641.4774,1.0650307,265.75,1.159541
466,25029.0,659.93445,1.0526084,262.375,1.1467783
467,25026.0,739.48926,1.0218437,262.375,1.1141313
468,25023.0,875.8476,0.9766828,258.375,1.0677074
469,25020.0,975.3634,0.9250032,258.375,1.014631
470,25017.0,1075.3243,0.8735276,258.0,0.96059734
471,25014.0,1137.5194,0.8264442,258.0,0.9096139
472,25011.0,1211.6366,0.79086006,258.5,0.8658841
473,25008.0,1281.5125,0.7557975,258.5,0.8268268
474,25005.0,1339.7628,0.7272001,268.25,0.79508483
475,25002.0,1373.7532,0.70492285,268.25,0.76993006
476,24999.0,1384.1766,0.6880449,260.25,0.7511902
477,24996.0,1363.3262,0.67566127,260.25,0.7375194
478,24993.0,1365.0958,0.6669997,252.0,0.7272613
479,24990.0,1366.4504,0.6615348,252.0,0.71971923
480,24987.0,1374.477,0.6591844,261.5,0.71511513
481,24984.0,1385.6964,0.6604893,261.5,0.71448636
482,24981.0,1406.4781,0.66670054,255.0,0.7193204
483,24978.0,1429.8585,0.6795866,255.0,0.7311663
484,24975.0,1455.1006,0.70332056,272.0,0.7515059
485,24972.0,1435.145,0.73773533,272.0,0.78202295
486,24969.0,1360.0989,0.78484815,258.5,0.8249151
487,24966.0,1218.855,0.84722054,258.5,0.88310736
488,24963.0,1025.1714,0.92760116,256.75,0.96015114
