TDEP,HDRA,PEFZ,RHOZ
710.33636,0.22869205,4.8386707,2.1851509
710.2856,0.22869992,4.838785,2.1851585
710.2348,0.22870708,4.8388577,2.1851656
710.184,0.22871399,4.838868,2.1851726
710.1332,0.22901058,4.8423996,2.1854692
710.0824,0.22901654,4.84239,2.1854749
710.0316,0.22902751,4.8426456,2.1854856
709.9808,0.22908568,4.843995,2.1855435
709.93,0.22950721,4.851147,2.1859648
709.8792,0.23034978,4.865486,2.1868072
709.82837,0.23149335,4.8844104,2.18795
709.7776,0.23260617,4.9047832,2.1890614
709.7268,0.23338318,4.9293995,2.1890404
709.67596,0.23074377,4.937388,2.1841438
709.6252,0.22833478,4.951913,2.1780493
709.5744,0.22693825,4.9767475,2.1717646
709.5236,0.22570658,5.0009975,2.1652923
709.4728,0.22460008,5.0239286,2.1588156
709.422,0.22280085,5.033633,2.1516476
709.3712,0.22014236,5.0374355,2.143533
709.3204,0.21562982,5.0389147,2.1333914
709.2696,0.2086091,5.037138,2.1212194
709.2188,0.20149827,5.0494747,2.1100814
709.16797,0.1895299,5.048892,2.0955284
709.1172,0.1725862,5.021836,2.0791597
