TDEP,HCAL
703.3768,8.450313
703.3514,8.461726
703.326,8.461726
703.3006,8.450313
703.2752,8.450313
703.2498,8.438899
703.22437,8.438899
703.199,8.461726
703.1736,8.438899
703.1482,8.450313
703.1228,8.438899
703.0974,8.438899
703.072,8.4274845
703.0466,8.438899
703.0212,8.461726
702.9958,8.507381
702.9704,8.530209
702.945,8.461726
702.9196,8.450313
702.89417,8.438899
702.8688,8.438899
702.8434,8.438899
702.818,8.438899
702.7926,8.438899
702.7672,8.438899
702.7418,8.438899
702.7164,8.438899
702.691,8.438899
702.6656,8.438899
702.6402,8.438899
702.6148,8.438899
702.5894,8.438899
702.56396,8.438899
702.5386,8.438899
702.5132,8.438899
702.4878,8.438899
702.4624,8.438899
702.437,8.438899
702.4116,8.4274845
702.38617,8.438899
702.3608,8.438899
702.3354,8.438899
702.31,8.461726
702.2846,8.450313
702.2592,8.450313
702.23376,8.450313
702.2084,8.438899
702.183,8.450313
702.1576,8.450313
702.1322,8.438899
702.1068,8.438899
702.0814,8.438899
702.05597,8.438899
702.0306,8.438899
702.0052,8.438899
701.9798,8.438899
701.9544,8.438899
701.929,8.438899
701.90356,8.438899
701.8782,8.438899
701.8528,8.438899
701.8274,8.438899
701.802,8.4274845
701.7766,8.438899
701.7512,8.438899
701.72577,8.450313
701.7004,8.438899
701.675,8.438899
701.6496,8.438899
701.6242,8.438899
701.5988,8.438899
701.57336,8.438899
701.548,8.450313
701.5226,8.438899
701.4972,8.438899
701.4718,8.461726
701.4464,8.450313
701.421,8.450313
701.39557,8.438899
701.3702,8.450313
701.3448,8.438899
701.3194,8.438899
701.294,8.450313
701.2686,8.450313
701.24316,8.438899
701.2178,8.438899
701.1924,8.4274845
701.167,8.438899
701.1416,8.4274845
701.1162,8.4274845
701.0908,8.450313
701.06537,8.438899
701.04,8.438899
701.0146,8.438899
700.9892,8.4274845
700.9638,8.438899
700.9384,8.4274845
700.91296,8.4274845
700.8876,8.438899
700.8622,8.416071
700.8368,8.4274845
700.8114,8.438899
700.786,8.416071
700.7606,8.438899
700.73517,8.438899
700.7098,8.4274845
700.6844,8.4274845
700.659,8.4274845
700.6336,8.4274845
700.6082,8.438899
700.58276,8.438899
700.5574,8.438899
700.532,8.4274845
700.5066,8.438899
700.4812,8.4274845
700.4558,8.4274845
700.4304,8.416071
700.40497,8.438899
700.3796,8.438899
700.3542,8.4274845
700.3288,8.438899
700.3034,8.438899
700.278,8.438899
700.25256,8.438899
700.2272,8.438899
700.2018,8.438899
700.1764,8.438899
700.151,8.438899
700.1256,8.438899
700.1002,8.450313
700.07477,8.461726
700.0494,8.450313
700.024,8.461726
699.9986,8.450313
