Poço,Profundidade,UnidadeF,UnidadeM,TopoUnidade,BaseUnidade,Topo,Base,Litologia,Cor,Tonalidade,Granulometria,Arredondamento,BS,CAL,DCAL,GR,RESD,Log10_RESD,DT,RHOB,DRHO,NPHI,PE,interpolada
1-BRSA-659-SE,478.2,MURIBE,OITEIR,False,False,False,False,CALCILUTITO,CINZA,CLARO,,,8.5,9.463796615600586,0.963796615600586,126.0056381225586,3.955600738525391,0.5972124493038211,93.05255126953124,2.554654121398926,0.0371150113642215,0.2567315399646759,3.676517963409424,False
1-BRSA-659-SE,478.3,MURIBE,OITEIR,False,False,False,False,CALCILUTITO,CINZA,CLARO,,,8.5,9.447537422180176,0.9475374221801758,125.0628433227539,4.08165168762207,0.6108359409489066,92.41683959960938,2.56487774848938,0.0458155646920204,0.2563239336013794,3.6525192260742174,False
1-BRSA-659-SE,478.4,MURIBE,OITEIR,False,False,False,False,CALCILUTITO,CINZA,CLARO,,,8.5,9.439406394958496,0.939406394958496,123.9268569946289,4.090086936950684,0.6117325392632558,92.40153503417967,2.559962511062622,0.0462348610162735,0.2595452964305877,3.625532865524292,False
1-BRSA-659-SE,478.5,MURIBE,OITEIR,False,False,False,False,CALCILUTITO,CINZA,CLARO,,,8.5,9.488186836242676,0.9881868362426758,124.7691879272461,3.988319396972656,0.6007899306798277,93.4551010131836,2.5440735816955566,0.0442714802920818,0.2636255919933319,3.587652921676636,False
1-BRSA-659-SE,478.6,MURIBE,OITEIR,False,False,False,False,CALCILUTITO,CINZA,CLARO,,,8.5,9.520708084106444,1.020708084106445,127.42755126953124,3.75610613822937,0.5747378558507452,95.42908477783205,2.5112462043762207,0.0462469309568405,0.2704386115074157,3.522835254669189,False
1-BRSA-659-SE,478.7,MURIBE,OITEIR,False,False,False,False,CALCILUTITO,CINZA,CLARO,,,8.5,9.520708084106444,1.020708084106445,132.53562927246094,3.463104009628296,0.5394655351906116,97.6653060913086,2.4640982151031494,0.0524792447686195,0.2781259715557098,3.4257121086120605,False
1-BRSA-659-SE,478.8,MURIBE,OITEIR,False,False,False,False,CALCILUTITO,CINZA,CLARO,,,8.5,9.488186836242676,0.9881868362426758,136.54635620117188,3.230621099472046,0.5092860251615895,99.40714263916016,2.4221842288970947,0.0550422519445419,0.28446164727211,3.334567785263061,False
1-BRSA-659-SE,478.9,MURIBE,OITEIR,False,False,False,False,CALCILUTITO,CINZA,CLARO,,,8.5,9.471927642822266,0.9719276428222656,136.88638305664062,3.199913740158081,0.5051382712329424,100.1295928955078,2.399930000305176,0.0476106852293014,0.287345677614212,3.285578966140747,False
1-BRSA-659-SE,479.0,MURIBE,OITEIR,False,False,False,False,CALCILUTITO,CINZA,CLARO,,,8.5,9.471927642822266,0.9719276428222656,135.52627563476562,3.4508235454559326,0.5379227526284776,99.71275329589844,2.407742977142334,0.0369361974298954,0.2885023653507232,3.2919704914093018,False
1-BRSA-659-SE,479.1,MURIBE,OITEIR,False,False,False,False,CALCILUTITO,CINZA,CLARO,,,8.5,9.520708084106444,1.020708084106445,132.779052734375,4.014216899871826,0.6036008349856735,98.28724670410156,2.431302070617676,0.0307750850915908,0.2900888323783874,3.31579065322876,False
1-BRSA-659-SE,479.2,MURIBE,OITEIR,False,False,False,False,CALCILUTITO,CINZA,CLARO,,,8.5,9.618268013000488,1.1182680130004885,132.5897216796875,4.729112148284912,0.6747796131915264,96.50153350830078,2.4531822204589844,0.0368840470910072,0.2906379401683807,3.328658103942871,False
1-BRSA-659-SE,479.3,MURIBE,OITEIR,False,False,False,False,CALCILUTITO,CINZA,CLARO,,,8.5,9.740219116210938,1.2402191162109375,134.9737548828125,5.213346481323242,0.7171165892904069,95.3096923828125,2.4510061740875244,0.0471116527915,0.2952608466148376,3.337799549102783,False
1-BRSA-659-SE,479.4,MURIBE,OITEIR,False,False,False,True,CALCILUTITO,CINZA,CLARO,,,8.5,9.910950660705566,1.4109506607055664,135.9242706298828,5.155745506286621,0.7122914719196931,95.83265686035156,2.414562940597534,0.0594787560403347,0.3092077970504761,3.3821861743927,False
