Poço,Profundidade,UnidadeF,UnidadeM,UnidadeC,TopoUnidade,BaseUnidade,Topo,Base,Litologia,Cor,Tonalidade,Granulometria,Arredondamento,BS,CAL,DCAL,GR,RESD,Log10_RESD,DT,RHOB,DRHO,NPHI,PE,interpolada
1-BRSA-689-SE,471.1,MURIBE,OITEIR,,False,False,False,False,FOLHELHO,CASTANHO,ESCURO,,,8.5,9.227896690368652,0.7278966903686523,116.93767547607422,1.5273910760879517,0.18395024887160719,105.05628204345705,2.415396451950073,0.0131409168243408,0.3175340592861175,3.3562674522399902,False
1-BRSA-689-SE,471.2,MURIBE,OITEIR,,False,False,False,False,FOLHELHO,CASTANHO,ESCURO,,,8.5,9.432095527648926,0.9320955276489258,118.42902374267578,1.4003206491470337,0.14622749297134105,112.30613708496094,2.409311056137085,0.0267717838287353,0.3493228852748871,3.4132864475250244,False
1-BRSA-689-SE,471.3,MURIBE,OITEIR,,False,False,False,False,FOLHELHO,CASTANHO,ESCURO,,,8.5,9.308501720428469,0.8085017204284668,115.74463272094728,1.4797565340995789,0.17019026634426365,111.85782623291016,2.413643479347229,0.029946208000183,0.348656103014946,3.4366625547409058,True
1-BRSA-689-SE,471.4,MURIBE,OITEIR,,False,False,False,False,FOLHELHO,CASTANHO,ESCURO,,,8.5,9.184907913208008,0.6849079132080078,113.06024169921876,1.559192419052124,0.1928997145319393,111.40951538085938,2.417975902557373,0.0331206321716308,0.3479893207550049,3.460038661956787,False
1-BRSA-689-SE,471.5,MURIBE,OITEIR,,False,False,False,False,FOLHELHO,CASTANHO,ESCURO,,,8.5,9.206401824951172,0.7064018249511719,110.8175277709961,1.703382134437561,0.23131208792777483,104.99835968017578,2.4642794132232666,0.0379369258880615,0.3083419799804687,3.493431806564331,False
1-BRSA-689-SE,471.6,MURIBE,OITEIR,,False,False,False,False,FOLHELHO,CASTANHO,ESCURO,,,8.5,9.270885467529297,0.7708854675292969,109.03802490234376,1.670149862766266,0.2227554421968774,104.13585662841795,2.4693007469177246,0.0333163738250732,0.300233632326126,3.483270525932312,True
1-BRSA-689-SE,471.7,MURIBE,OITEIR,,False,False,False,False,FOLHELHO,CASTANHO,ESCURO,,,8.5,9.335369110107422,0.8353691101074219,107.2585220336914,1.6369175910949707,0.21402681586056874,103.27335357666016,2.4743220806121826,0.0286958217620849,0.2921252846717834,3.473109245300293,False
1-BRSA-689-SE,471.8,MURIBE,OITEIR,,False,False,False,False,FOLHELHO,CASTANHO,ESCURO,,,8.5,9.184907913208008,0.6849079132080078,108.24767303466795,1.637556791305542,0.21419637047935006,95.86695098876952,2.4548144340515137,0.0399413108825683,0.283417671918869,3.5207462310791016,False
1-BRSA-689-SE,471.9,MURIBE,OITEIR,,False,False,False,True,FOLHELHO,CASTANHO,ESCURO,,,8.5,9.20640230178833,0.7064023017883301,111.51190948486328,1.61900132894516,0.20924720524090482,100.8294677734375,2.441969156265259,0.0558272600173949,0.315430536866188,3.5735201835632324,True
1-BRSA-689-SE,472.0,MURIBE,OITEIR,,False,False,True,False,CALCILUTITO,CREME,ACASTANHADO,,,8.5,9.227896690368652,0.7278966903686523,114.7761459350586,1.6004458665847778,0.2042409891698662,105.79198455810548,2.429123878479004,0.0717132091522216,0.3474434018135071,3.6262941360473633,False
1-BRSA-689-SE,472.1,MURIBE,OITEIR,,False,False,False,False,CALCILUTITO,CREME,ACASTANHADO,,,8.5,9.270885467529297,0.7708854675292969,112.24173736572266,1.4385323524475098,0.15791963357527172,106.8507080078125,2.4191596508026123,0.0923793315887451,0.3921602666378021,3.6989145278930655,False
1-BRSA-689-SE,472.2,MURIBE,OITEIR,,False,False,False,False,CALCILUTITO,CREME,ACASTANHADO,,,8.5,9.281632900238035,0.7816329002380371,112.60431671142578,1.5006965398788452,0.1762928811972214,102.1239013671875,2.431763291358948,0.0872628688812255,0.3870992064476013,3.672463417053222,True
1-BRSA-689-SE,472.3,MURIBE,OITEIR,,False,False,False,False,CALCILUTITO,CREME,ACASTANHADO,,,8.5,9.292380332946776,0.7923803329467773,112.9668960571289,1.5628607273101809,0.1939202780475728,97.3970947265625,2.444366931915283,0.082146406173706,0.3820381462574005,3.646012306213379,False
1-BRSA-689-SE,472.4,MURIBE,OITEIR,,False,False,False,False,CALCILUTITO,CREME,ACASTANHADO,,,8.5,8.991456985473633,0.4914569854736328,111.3934326171875,1.924502730369568,0.28431853158212744,100.40782165527344,2.472219467163086,0.0509450435638427,0.3419873714447021,3.513579130172729,False
1-BRSA-689-SE,472.5,MURIBE,OITEIR,,False,False,False,False,CALCILUTITO,CREME,ACASTANHADO,,,8.5,9.039819717407228,0.5398197174072266,117.37496948242188,1.8233110904693604,0.2608607736181523,100.96206283569336,2.46874463558197,0.0367212295532226,0.3182889223098754,3.4516775608062744,True
1-BRSA-689-SE,472.6,MURIBE,OITEIR,,False,False,False,False,CALCILUTITO,CREME,ACASTANHADO,,,8.5,9.08818244934082,0.5881824493408203,123.35650634765624,1.7221194505691528,0.23606327192823479,101.51630401611328,2.4652698040008545,0.0224974155426025,0.2945904731750488,3.38977599143982,False
1-BRSA-689-SE,472.7,MURIBE,OITEIR,,False,False,False,False,CALCILUTITO,CREME,ACASTANHADO,,,8.5,9.184907913208008,0.6849079132080078,127.96308135986328,1.6031824350357056,0.2049829459480941,95.3763427734375,2.441112279891968,0.0071222782135009,0.2880074679851532,3.291064500808716,False
1-BRSA-689-SE,472.8,MURIBE,OITEIR,,False,False,False,False,CALCILUTITO,CREME,ACASTANHADO,,,8.5,9.22252321243286,0.7225232124328613,123.9283332824707,1.5716606378555298,0.19635877642509664,99.0444107055664,2.440029978752136,0.0042511224746703,0.2767067849636078,3.275640845298767,True
1-BRSA-689-SE,472.9,MURIBE,OITEIR,,False,False,False,True,CALCILUTITO,CREME,ACASTANHADO,,,8.5,9.260138511657717,0.7601385116577148,119.89358520507812,1.540138840675354,0.18755987344764705,102.71247863769533,2.4389476776123047,0.0013799667358398,0.2654061019420624,3.2602171897888184,False
1-BRSA-689-SE,473.0,MURIBE,OITEIR,,False,False,True,False,FOLHELHO,CASTANHO,ESCURO,,,8.5,9.270885467529297,0.7708854675292969,109.0730209350586,1.631578803062439,0.21260805447000516,105.89501190185548,2.4498095512390137,0.0001380443572998,0.2561308741569519,3.3003320693969727,False
1-BRSA-689-SE,473.1,MURIBE,OITEIR,,False,False,False,False,FOLHELHO,CASTANHO,ESCURO,,,8.5,9.227896690368652,0.7278966903686523,108.8054656982422,1.6030994653701782,0.2049604692794597,107.3452377319336,2.446385622024536,-0.0002937316894531,0.284268319606781,3.33758807182312,True
1-BRSA-689-SE,473.2,MURIBE,OITEIR,,False,False,False,False,FOLHELHO,CASTANHO,ESCURO,,,8.5,9.184907913208008,0.6849079132080078,108.53791046142578,1.5746201276779177,0.19717579853721162,108.79546356201172,2.4429616928100586,-0.000725507736206,0.3124057650566101,3.374844074249268,False
1-BRSA-689-SE,473.3,MURIBE,OITEIR,,False,False,False,False,FOLHELHO,CASTANHO,ESCURO,,,8.5,9.08818244934082,0.5881824493408203,114.76430130004884,1.5637286901474,0.194161404354903,111.68477630615234,2.429216980934143,-0.0015870332717895,0.3337613940238952,3.4010002613067627,True
1-BRSA-689-SE,473.4,MURIBE,OITEIR,,False,False,False,False,FOLHELHO,CASTANHO,ESCURO,,,8.5,8.991456985473633,0.4914569854736328,120.99069213867188,1.5528372526168823,0.1911259412442195,114.57408905029295,2.4154722690582275,-0.002448558807373,0.3551170229911804,3.427156448364258,False
1-BRSA-689-SE,473.5,MURIBE,OITEIR,,False,False,False,False,FOLHELHO,CASTANHO,ESCURO,,,8.5,9.21714973449707,0.7171497344970703,118.0968246459961,1.4942998886108398,0.17443776407856032,105.91024017333984,2.426776170730591,-0.0021228790283203,0.3400773108005523,3.411552667617798,False
